map,bucket,scenario,start_x,start_y,heuristic,density,avg_runtime_ms,avg_nodes_expanded,success,dataset_type,density_level,runtime_outlier,nodes_outlier
maze512-16-2.map,1,10,463,253,manhattan,0.061065673828125,0.042891502380371,19.0,True,mazes,medium,False,False
maze512-16-2.map,1,10,463,253,euclidean,0.061065673828125,0.0506877899169921,22.0,True,mazes,medium,False,False
maze512-16-2.map,1,11,115,79,manhattan,0.061065673828125,0.0721216201782226,29.0,True,mazes,medium,False,False
maze512-16-2.map,1,11,115,79,euclidean,0.061065673828125,0.0722408294677734,34.0,True,mazes,medium,False,False
maze512-16-2.map,1,12,337,29,manhattan,0.061065673828125,0.2717494964599609,144.0,True,mazes,medium,False,False
maze512-16-2.map,1,12,337,29,euclidean,0.061065673828125,0.3396511077880859,175.0,True,mazes,medium,False,False
maze512-16-2.map,1,13,160,24,manhattan,0.061065673828125,0.0184535980224609,7.0,True,mazes,medium,False,False
maze512-16-2.map,1,13,160,24,euclidean,0.061065673828125,0.0199079513549804,7.0,True,mazes,medium,False,False
maze512-16-2.map,1,14,303,494,manhattan,0.061065673828125,0.0519037246704101,24.0,True,mazes,medium,False,False
maze512-16-2.map,1,14,303,494,euclidean,0.061065673828125,0.0622272491455078,28.0,True,mazes,medium,False,False
maze512-16-2.map,1,15,121,178,manhattan,0.061065673828125,0.0778675079345703,29.0,True,mazes,medium,False,False
maze512-16-2.map,1,15,121,178,euclidean,0.061065673828125,0.0921249389648437,34.0,True,mazes,medium,False,False
maze512-16-2.map,1,16,211,331,manhattan,0.061065673828125,0.0498056411743164,13.0,True,mazes,medium,False,False
maze512-16-2.map,1,16,211,331,euclidean,0.061065673828125,0.0593185424804687,13.0,True,mazes,medium,False,False
maze512-16-2.map,1,17,497,367,manhattan,0.061065673828125,0.0218868255615234,4.0,True,mazes,medium,False,False
maze512-16-2.map,1,17,497,367,euclidean,0.061065673828125,0.028538703918457,4.0,True,mazes,medium,False,False
maze512-16-2.map,1,19,173,12,manhattan,0.061065673828125,0.0607967376708984,20.0,True,mazes,medium,False,False
maze512-16-2.map,1,19,173,12,euclidean,0.061065673828125,0.0735998153686523,23.0,True,mazes,medium,False,False
maze512-16-2.map,2,20,17,422,manhattan,0.061065673828125,0.0932931900024414,39.0,True,mazes,medium,False,False
maze512-16-2.map,2,20,17,422,euclidean,0.061065673828125,0.1076698303222656,47.0,True,mazes,medium,False,False
