map,bucket,scenario,start_x,start_y,heuristic,density,avg_runtime_ms,avg_nodes_expanded,success
maze512-16-2.map,2,26,86,362,euclidean,0.061065673828125,0.04813671112060547,19.0,True
maze512-16-2.map,2,27,399,323,manhattan,0.061065673828125,0.14467239379882812,69.0,True
maze512-16-2.map,2,27,399,323,euclidean,0.061065673828125,0.1915454864501953,86.0,True
maze512-16-2.map,2,28,186,125,manhattan,0.061065673828125,0.3977537155151367,224.0,True
maze512-16-2.map,2,28,186,125,euclidean,0.061065673828125,0.5472898483276367,278.0,True
maze512-16-2.map,2,29,383,236,manhattan,0.061065673828125,0.11293888092041016,54.0,True
maze512-16-2.map,2,29,383,236,euclidean,0.061065673828125,0.14560222625732422,67.0,True
maze512-16-2.map,3,30,239,181,manhattan,0.061065673828125,0.3101825714111328,168.0,True
maze512-16-2.map,3,30,239,181,euclidean,0.061065673828125,0.4387855529785156,218.0,True
maze512-16-2.map,3,31,338,380,manhattan,0.061065673828125,0.10154247283935547,44.0,True
maze512-16-2.map,3,31,338,380,euclidean,0.061065673828125,0.12929439544677734,55.0,True
maze512-16-2.map,3,32,77,158,manhattan,0.061065673828125,27.539706230163574,12248.0,True
maze512-16-2.map,3,32,77,158,euclidean,0.061065673828125,33.75144004821777,14747.0,True
maze512-16-2.map,3,33,184,329,manhattan,0.061065673828125,0.2889871597290039,143.0,True
maze512-16-2.map,3,33,184,329,euclidean,0.061065673828125,0.39970874786376953,181.0,True
maze512-16-2.map,3,34,316,124,manhattan,0.061065673828125,0.3274679183959961,89.0,True
maze512-16-2.map,3,34,316,124,euclidean,0.061065673828125,0.38013458251953125,110.0,True
maze512-16-2.map,3,36,131,360,manhattan,0.061065673828125,0.10063648223876953,47.0,True
maze512-16-2.map,3,36,131,360,euclidean,0.061065673828125,0.15592575073242188,57.0,True
maze512-16-2.map,3,37,57,236,manhattan,0.061065673828125,0.12912750244140625,47.0,True
maze512-16-2.map,3,37,57,236,euclidean,0.061065673828125,0.16090869903564453,57.0,True
maze512-16-2.map,3,38,319,438,manhattan,0.061065673828125,0.22215843200683594,95.0,True
maze512-16-2.map,3,38,319,438,euclidean,0.061065673828125,0.4396677017211914,121.0,True
maze512-16-2.map,3,39,213,371,manhattan,0.061065673828125,530.2390575408936,201456.0,True
maze512-16-2.map,3,39,213,371,euclidean,0.061065673828125,527.9445886611938,202638.0,True
maze512-16-2.map,4,40,492,178,manhattan,0.061065673828125,0.1739978790283203,84.0,True
maze512-16-2.map,4,40,492,178,euclidean,0.061065673828125,0.1611471176147461,86.0,True
maze512-16-2.map,4,41,406,31,manhattan,0.061065673828125,0.17855167388916016,96.0,True
maze512-16-2.map,4,41,406,31,euclidean,0.061065673828125,0.27251243591308594,141.0,True
maze512-16-2.map,4,42,388,429,manhattan,0.061065673828125,0.3031492233276367,164.0,True
maze512-16-2.map,4,42,388,429,euclidean,0.061065673828125,0.4261970520019531,207.0,True
maze512-16-2.map,4,43,134,483,manhattan,0.061065673828125,3.7467002868652344,1976.0,True
maze512-16-2.map,4,43,134,483,euclidean,0.061065673828125,5.073904991149902,2346.0,True
maze512-16-2.map,4,44,285,354,manhattan,0.061065673828125,519.6414470672607,213921.0,True
maze512-16-2.map,4,44,285,354,euclidean,0.061065673828125,567.5561189651489,215987.0,True
maze512-16-2.map,4,47,40,309,manhattan,0.061065673828125,0.6148338317871094,321.0,True
maze512-16-2.map,4,47,40,309,euclidean,0.061065673828125,0.9043216705322266,397.0,True
maze512-16-2.map,4,48,91,164,manhattan,0.061065673828125,28.249025344848633,13992.0,True
maze512-16-2.map,4,48,91,164,euclidean,0.061065673828125,36.767029762268066,16705.0,True
maze512-16-2.map,4,49,225,438,manhattan,0.061065673828125,487.7875804901123,200978.0,True
maze512-16-2.map,4,49,225,438,euclidean,0.061065673828125,527.7954816818237,201611.0,True
maze512-16-2.map,5,51,315,285,manhattan,0.061065673828125,7.439780235290527,3471.0,True
maze512-16-2.map,5,51,315,285,euclidean,0.061065673828125,8.611440658569336,3922.0,True
maze512-16-2.map,5,53,161,301,manhattan,0.061065673828125,2.2801876068115234,1198.0,True
maze512-16-2.map,5,53,161,301,euclidean,0.061065673828125,2.824568748474121,1394.0,True
maze512-16-2.map,5,54,382,162,manhattan,0.061065673828125,0.7035732269287109,379.0,True
maze512-16-2.map,5,54,382,162,euclidean,0.061065673828125,0.8988857269287109,472.0,True
maze512-16-2.map,5,55,237,189,manhattan,0.061065673828125,0.0791311264038086,38.0,True
maze512-16-2.map,5,55,237,189,euclidean,0.061065673828125,0.09796619415283203,47.0,True
